SMILES	LogS
CC(C)CC[NH+]1CC[NH+](Cc2cc3ccccc3[nH]2)CC1CCO	3.926
COc1ccccc1NC(=O)c1sc(Cl)nc1C	3.886
COc1ccc(C(=O)NN=C2CCCC2)cc1OC	3.936
COc1cccc(C=NNc2ncc(C)c(O)n2)c1OC	4.997
NC(=O)c1c(NC(=O)c2ccncc2)sc2c1CCCCCC2	4.673
Cn1c(=O)c2c([O-])c(C=Nc3ccc(F)cc3)c(=O)n(C)c2n(C)c1=O	4.04
CC1CCCC(NC(=O)COC(=O)c2[nH]nc3ccccc23)C1C	4.905
CCCCc1cc(=O)oc2cc(OCc3nn[nH]n3)ccc12	4.276
OCCC1C[NH+](CC2CCCCC2)CC[NH+]1C1CCCC1	3.861
C(=N/Nc1nncn1/N=C/c1ccco1)\c1ccco1	3.898
CCCOc1ccccc1C=C1SC(N)=NC1=O	5.097
COc1ccc(OC)c(C2CCCN2)c1	3.868
Cc1csc(NC(=O)C2CCCCC2)n1	4.052
COc1ccccc1NS(=O)(=O)c1cc(N)ccc1N1CCCCC1	4.773
COc1ccc2oc(C(=O)NN3C(C)CCCC3C)c(C)c2c1	4.744
Cc1ccc(-n2c(C)nn(CCOc3ccccc3)c2=O)cc1	4.019
O=C(CN1CCN(S(=O)(=O)c2ccccc2F)CC1)N1CCc2ccccc2C1	4.513
CCOC(=O)c1cc(C#N)c(C)nc1N(CC)CC	4.202
CCOC(=O)c1ccc(CN2C(=O)c3ccccc3S2(=O)=O)cc1	5.584
CNC(=S)N/N=C/c1c2ccccc2c(Cl)c2ccccc12	5.561
O=C(CN1C(=O)c2ccccc2C1=O)Nc1cccc(O)c1	3.903
C[C@H](NS(=O)(=O)c1c(Cl)cccc1Cl)C(=O)NNC(=O)COc1ccccc1F	3.89
O=C(c1ccccc1)N1CCCC(C(=O)N2CCN(c3ccccc3)CC2)C1	3.907
CC(C)NC(=O)[N-]NC(=O)c1cc(COc2cc(Cl)cc(Cl)c2)on1	6.286
COc1ccc(C(=O)CSc2nc3ncccc3[nH]2)cc1OC	4.391
CCOc1ccc(CNc2ccc(N3CCCC3)cc2)cc1	4.981
Cc1nc(-c2ccccc2)sc1C(=O)Nc1ccccc1F	5.239
O=C([O-])Cc1csc(-c2cccc(Oc3ccccc3)c2)n1	3.799
Cc1ccc(SCCNCc2ccco2)cc1.Cl	4.007
COc1ccc(C=NNC(=O)c2sccc2C)cc1Cn1nc(C)cc1C	5.503
COc1cc2c(cc1OC)C[NH+](Cc1cc(OC)c(O)c(OC)c1)CC2	3.878
O=C(COC(=O)c1ccc(F)cc1Cl)NC1CCCCCCC1	4.207
O=C(NCc1ccc(F)cc1)Nc1cccc([N+](=O)[O-])c1	5.461
C(=N/N1CCN(c2ccccn2)CC1)\c1ccco1	3.834
C(=NNc1ccc2nncn2[nH+]1)c1ccco1	3.935
COc1ccc(CC(=O)N[N-]C(=S)NC(=O)c2cccnc2)cc1	4.111
CNC(=O)c1ccc(Oc2ccc(C(=O)NCc3ccncc3)cc2)cc1	4.73
Cc1ccn(C(C)CC(=O)N2CCc3ccccc32)n1	3.991
COc1ccccc1N1CCN(C(=S)NC(=O)C=Cc2ccccc2)CC1	5.468
O=C1C(=Cc2ccncc2)SC(=S)N1N1CCOCC1	4.237
O=C(N/N=C/c1ccc(-c2ccccc2)o1)c1ccccc1O	5.787
CCOC(=O)C1=NN(c2ccccc2)C(=O)C1	3.859
CCOC(=O)c1cc(-c2ccc(OC)cc2)[nH]n1	4.606
O=C(Nc1nc(-c2ccccc2)cs1)c1ccccc1F	5.873
CC(C=NNC(=O)c1cc(-c2cccn2C)[nH]n1)=Cc1ccccc1	5.444
c1cc2c(cc1-n1cnnn1)OCO2	4.0
CCc1ccccc1NC(=S)N(Cc1cccs1)C1CCCC1	4.394
CCOc1ccc(-c2nc(CCl)cs2)cc1OC	4.018
CN(C)c1ccc(/C=N/NC(=O)CCc2nc3ccccc3[nH]2)cc1	5.247
N#Cc1cnn(-c2ccccc2)c1NC(=O)CN1CCN(c2ccccc2)CC1	4.6
O=C(CNC(=O)c1[nH]nc2ccccc12)Nc1cc(Cl)ccc1Cl	5.715
O=C(COc1ccc(Cl)cc1Cl)NN=CC1CC=CCC1	5.1
Cc1[nH]c2ccccc2c1C(=O)CSC(=S)N1CCN(C)CC1	5.161
CCCCn1c(NC(=O)c2ccco2)c(C(=O)OCC)c2nc3ccccc3nc21	4.919
CCOCc1c(C(=O)NC2CCCCCC2)oc2ccccc12	5.545
c1ccc(-c2nn3cnnc3c3ccccc23)cc1	5.391
CCN1CCN(c2nc(Nc3ccc(OC)cc3)nc(N)c2[N+](=O)[O-])CC1	3.877
CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C([O-])C(=O)N2Cc2ccccc2)c1	3.824
Cc1ccc(CNC(=O)C2CCC(=O)N2Cc2ccc(F)cc2)cc1	3.831
O=C(NCCc1ccc(Cl)cc1)c1ccc2ccccc2n1	4.722
COC(=O)Nc1ccc(S(=O)(=O)N2CCC(C(=O)NCc3ccc4c(c3)OCO4)CC2)cc1	5.075
O=S(=O)(CCN1CCCCC1)Oc1ccc(Cl)cc1Cl	3.826
Cc1sc2ncnc(N(C)C3CCCCC3)c2c1C	5.399
Cc1ccc(O)c(NC(=O)c2cc(-c3cccs3)on2)c1	5.699
CCCCOc1ccc(/C=N/N(CCC#N)C(N)=S)cc1	5.442
COc1ccc(S(=O)(=O)Nc2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1OC	5.108
CCn1cc(-c2cc(C(=O)[O-])c3ccccc3n2)cn1	3.851
O=C(c1ccc(-c2ccc([N+](=O)[O-])cc2)o1)N1CCCCCCC1	4.557
CC(OC(=O)c1ccc(Cl)cc1O)C(=O)NCCC1=CCCCC1	4.029
CCOC(=O)[N-]NC(=O)CCn1c2c(c3ccccc31)CCCC2	4.044
O=C(Nc1cccc(NC(=O)c2ccccc2F)c1)c1ccccc1	5.57
CC(C)c1ccc(OCC(=O)NNC(=O)c2cnccn2)cc1	4.264
CC(C)/C=N/Nc1nc2c(c(=O)n(C)c(=O)n2C)n1C	3.894
CCCCCC(=O)O/N=C(\C)c1ccn(S(=O)(=O)c2ccccc2)c1	5.445
NNC(=O)CCN1CCCCC1	3.998
CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cncc3Cl)C(=O)O)cc2)n1	2.87
C(=NNc1ccc2ccccc2n1)c1ccc2c(c1)OCCO2	5.105
N/C(=N\NS(=O)(=O)c1ccccc1C(F)(F)F)c1ccccn1	4.141
O=C(CCNC(=O)c1ccccc1)Nc1ccc(Cl)c(S(=O)(=O)N2CCCCC2)c1	4.179
C=CCOn1c(=O)c(-c2ccc(F)cc2)[n+]([O-])c2ccccc21	5.194
O=C(CSc1nnc(-c2ccccn2)o1)Nc1cccc(Cl)c1	4.35
COc1cc(C=NNC(=O)c2cccc([N+](=O)[O-])c2)ccc1O	4.706
